[96, 0, 0, 0, 0, 0, 0, 21, 19, 0, 0, 30, 0, 0, 0, 0, 0, 3, 0, 0, 0, 70, 52, 0, 0, 0]
[0, 1, 4, 0, 0, 74, 80, 25, 0, 97, 39, 11, 0, 0, 0, 5, 10, 0, 0, 98, 16, 0, 0, 0, 0, 0]
[0, 4, 0, 92, 0, 0, 12, 73, 0, 0, 0, 0, 0, 44, 0, 0, 54, 11, 45, 0, 78, 69, 0, 64, 41, 0]
[0, 0, 92, 0, 11, 0, 0, 0, 6, 25, 42, 0, 0, 62, 0, 0, 0, 33, 65, 94, 41, 68, 80, 0, 0, 11]
[0, 0, 0, 11, 71, 0, 62, 0, 0, 38, 41, 0, 0, 18, 66, 47, 0, 0, 18, 50, 0, 74, 15, 0, 74, 0]
[0, 74, 0, 0, 0, 75, 16, 0, 76, 0, 59, 73, 0, 77, 63, 0, 0, 44, 0, 0, 0, 23, 98, 47, 41, 92]
[0, 80, 12, 0, 62, 16, 0, 0, 0, 0, 0, 42, 40, 18, 0, 85, 0, 0, 0, 7, 19, 87, 85, 80, 0, 0]
[21, 25, 73, 0, 0, 0, 0, 0, 14, 4, 60, 1, 37, 0, 0, 66, 0, 0, 21, 86, 0, 75, 0, 0, 0, 0]
[19, 0, 0, 6, 0, 76, 0, 14, 77, 60, 29, 80, 96, 0, 26, 0, 51, 0, 0, 0, 0, 5, 0, 8, 0, 42]
[0, 97, 0, 25, 38, 0, 0, 4, 60, 75, 0, 27, 0, 53, 0, 54, 0, 0, 0, 43, 0, 0, 0, 91, 0, 93]
[0, 39, 0, 42, 41, 59, 0, 60, 29, 0, 0, 85, 25, 28, 0, 4, 58, 17, 8, 0, 41, 17, 0, 0, 56, 0]
[30, 11, 0, 0, 0, 73, 42, 1, 80, 27, 85, 0, 63, 0, 0, 0, 76, 9, 0, 58, 0, 75, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 40, 37, 96, 0, 25, 63, 0, 17, 59, 0, 0, 0, 30, 0, 0, 36, 10, 76, 0, 37]
[0, 0, 44, 62, 18, 77, 18, 0, 0, 53, 28, 0, 17, 0, 11, 0, 0, 0, 86, 0, 0, 36, 0, 0, 43, 86]
[0, 0, 0, 0, 66, 63, 0, 0, 26, 0, 0, 0, 59, 11, 44, 0, 30, 0, 74, 21, 19, 8, 0, 0, 3, 0]
[0, 5, 0, 0, 47, 0, 85, 66, 0, 54, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 72, 0]
[0, 10, 54, 0, 0, 0, 0, 0, 51, 0, 58, 76, 0, 0, 30, 0, 40, 0, 0, 0, 0, 0, 13, 0, 0, 54]
[3, 0, 11, 33, 0, 44, 0, 0, 0, 0, 17, 9, 0, 0, 0, 0, 0, 0, 0, 0, 97, 0, 0, 0, 93, 0]
[0, 0, 45, 65, 18, 0, 0, 21, 0, 0, 8, 0, 30, 86, 74, 0, 0, 0, 0, 81, 51, 92, 84, 0, 0, 57]
[0, 98, 0, 94, 50, 0, 7, 86, 0, 43, 0, 58, 0, 0, 21, 0, 0, 0, 81, 46, 0, 0, 0, 26, 0, 87]
[0, 16, 78, 41, 0, 0, 19, 0, 0, 0, 41, 0, 0, 0, 19, 63, 0, 97, 51, 0, 0, 16, 77, 0, 0, 70]
[70, 0, 69, 68, 74, 23, 87, 75, 5, 0, 17, 75, 36, 36, 8, 0, 0, 0, 92, 0, 16, 31, 65, 18, 0, 0]
[52, 0, 0, 80, 15, 98, 85, 0, 0, 0, 0, 0, 10, 0, 0, 0, 13, 0, 84, 0, 77, 65, 0, 0, 63, 45]
[0, 0, 64, 0, 0, 47, 80, 0, 8, 91, 0, 0, 76, 0, 0, 0, 0, 0, 0, 26, 0, 18, 0, 4, 17, 0]
[0, 0, 41, 0, 74, 41, 0, 0, 0, 0, 56, 0, 0, 43, 3, 72, 0, 93, 0, 0, 0, 0, 63, 17, 0, 80]
[0, 0, 0, 11, 0, 92, 0, 0, 42, 93, 0, 0, 37, 86, 0, 0, 54, 0, 57, 87, 70, 0, 45, 0, 80, 0]
