[25, 0, 57, 54, 35, 99, 3, 73, 0, 0, 50, 49, 0, 0, 0, 0, 0, 89, 35, 0, 0, 37, 96, 70, 0, 61, 51, 0, 0, 0, 0, 39, 57, 0, 0, 78, 3, 4, 18, 0, 22, 0]
[0, 0, 41, 0, 16, 0, 0, 0, 0, 0, 0, 5, 0, 69, 61, 0, 29, 0, 50, 61, 0, 0, 59, 5, 38, 0, 49, 66, 0, 1, 54, 0, 58, 0, 0, 38, 0, 0, 0, 24, 0, 99]
[57, 41, 0, 0, 0, 74, 0, 94, 81, 46, 0, 48, 0, 38, 14, 50, 85, 0, 0, 0, 0, 3, 76, 94, 0, 13, 0, 0, 0, 0, 0, 19, 0, 0, 43, 68, 0, 0, 0, 62, 96, 0]
[54, 0, 0, 0, 77, 11, 40, 0, 0, 4, 11, 51, 37, 91, 23, 0, 97, 0, 68, 0, 0, 0, 0, 0, 0, 0, 71, 0, 83, 0, 0, 0, 0, 98, 87, 0, 0, 0, 39, 74, 29, 13]
[35, 16, 0, 77, 0, 0, 87, 0, 47, 19, 60, 0, 63, 0, 0, 60, 0, 0, 0, 0, 68, 0, 65, 0, 0, 11, 1, 11, 42, 38, 53, 30, 0, 5, 0, 0, 0, 60, 0, 0, 0, 94]
[99, 0, 74, 11, 0, 0, 0, 57, 93, 0, 85, 20, 0, 0, 40, 0, 0, 0, 0, 0, 0, 10, 0, 58, 40, 0, 0, 83, 0, 0, 2, 48, 7, 13, 50, 0, 52, 89, 0, 0, 0, 58]
[3, 0, 0, 40, 87, 0, 0, 0, 61, 0, 0, 99, 76, 64, 0, 0, 11, 56, 78, 0, 56, 55, 81, 0, 0, 0, 39, 21, 47, 50, 0, 0, 0, 0, 0, 34, 33, 46, 4, 0, 0, 0]
[73, 0, 94, 0, 0, 57, 0, 0, 86, 0, 0, 0, 0, 31, 66, 97, 0, 0, 0, 20, 0, 89, 33, 77, 58, 66, 0, 0, 81, 92, 0, 0, 62, 60, 0, 36, 0, 0, 31, 0, 0, 35]
[0, 0, 81, 0, 47, 93, 61, 86, 0, 0, 20, 66, 79, 0, 85, 0, 0, 0, 89, 0, 0, 0, 53, 62, 62, 0, 62, 0, 72, 38, 53, 0, 56, 67, 3, 31, 43, 88, 0, 86, 0, 0]
[0, 0, 46, 4, 19, 0, 0, 0, 0, 57, 0, 38, 0, 0, 16, 0, 0, 0, 0, 7, 0, 24, 0, 17, 35, 0, 69, 0, 85, 0, 0, 0, 0, 0, 76, 0, 0, 94, 32, 0, 0, 0]
[50, 0, 0, 11, 60, 85, 0, 0, 20, 0, 0, 10, 0, 53, 91, 98, 79, 62, 5, 0, 0, 0, 0, 1, 32, 90, 66, 0, 0, 55, 51, 0, 0, 0, 0, 0, 0, 0, 6, 0, 34, 0]
[49, 5, 48, 51, 0, 20, 99, 0, 66, 38, 10, 66, 0, 0, 0, 51, 95, 0, 0, 0, 17, 0, 27, 67, 0, 0, 0, 0, 49, 19, 0, 0, 0, 0, 75, 0, 0, 0, 0, 51, 0, 50]
[0, 0, 0, 37, 63, 0, 76, 0, 79, 0, 0, 0, 0, 37, 1, 60, 67, 6, 26, 0, 0, 0, 84, 0, 32, 0, 0, 78, 81, 85, 0, 87, 0, 85, 0, 44, 0, 53, 4, 3, 51, 98]
[0, 69, 38, 91, 0, 0, 64, 31, 0, 0, 53, 0, 37, 0, 0, 0, 0, 0, 94, 39, 0, 0, 0, 94, 25, 40, 0, 0, 63, 0, 0, 68, 0, 0, 0, 0, 96, 0, 78, 0, 39, 0]
[0, 61, 14, 23, 0, 40, 0, 66, 85, 16, 91, 0, 1, 0, 0, 12, 29, 56, 96, 80, 30, 0, 94, 0, 0, 22, 0, 0, 0, 57, 15, 32, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 50, 0, 60, 0, 0, 97, 0, 0, 98, 51, 60, 0, 12, 0, 93, 0, 26, 0, 0, 0, 0, 0, 0, 0, 37, 64, 25, 0, 0, 0, 5, 53, 38, 0, 0, 26, 0, 0, 0, 0]
[0, 29, 85, 97, 0, 0, 11, 0, 0, 0, 79, 95, 67, 0, 29, 93, 0, 0, 0, 56, 0, 98, 0, 0, 0, 0, 0, 0, 88, 58, 82, 0, 44, 21, 55, 0, 0, 45, 87, 0, 20, 0]
[89, 0, 0, 0, 0, 0, 56, 0, 0, 0, 62, 0, 6, 0, 56, 0, 0, 0, 0, 13, 27, 29, 10, 15, 32, 39, 33, 13, 0, 89, 14, 64, 51, 76, 48, 38, 0, 0, 97, 81, 69, 0]
[35, 50, 0, 68, 0, 0, 78, 0, 89, 0, 5, 0, 26, 94, 96, 26, 0, 0, 0, 1, 77, 57, 49, 0, 61, 0, 24, 0, 0, 0, 27, 0, 47, 0, 0, 49, 34, 0, 0, 0, 54, 0]
[0, 61, 0, 0, 0, 0, 0, 20, 0, 7, 0, 0, 0, 39, 80, 0, 56, 13, 1, 0, 0, 59, 0, 0, 0, 17, 0, 23, 89, 9, 86, 0, 5, 42, 0, 30, 0, 0, 50, 90, 53, 38]
[0, 0, 0, 0, 68, 0, 56, 0, 0, 0, 0, 17, 0, 0, 30, 0, 0, 27, 77, 0, 0, 99, 37, 79, 29, 0, 0, 34, 48, 0, 0, 0, 0, 0, 0, 0, 0, 96, 29, 92, 0, 59]
[37, 0, 3, 0, 0, 10, 55, 89, 0, 24, 0, 0, 0, 0, 0, 0, 98, 29, 57, 59, 99, 0, 60, 0, 26, 89, 0, 0, 54, 86, 57, 0, 96, 0, 23, 0, 27, 40, 0, 0, 29, 0]
[96, 59, 76, 0, 65, 0, 81, 33, 53, 0, 0, 27, 84, 0, 94, 0, 0, 10, 49, 0, 37, 60, 0, 0, 0, 20, 55, 0, 0, 0, 0, 47, 60, 3, 93, 0, 0, 0, 0, 0, 87, 30]
[70, 5, 94, 0, 0, 58, 0, 77, 62, 17, 1, 67, 0, 94, 0, 0, 0, 15, 0, 0, 79, 0, 0, 0, 0, 0, 66, 88, 97, 0, 53, 11, 0, 76, 45, 90, 94, 29, 4, 0, 52, 0]
[0, 38, 0, 0, 0, 40, 0, 58, 62, 35, 32, 0, 32, 25, 0, 0, 0, 32, 61, 0, 29, 26, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 61, 0, 0, 0, 69, 4, 86, 0, 0, 0]
[61, 0, 13, 0, 11, 0, 0, 66, 0, 0, 90, 0, 0, 40, 22, 0, 0, 39, 0, 17, 0, 89, 20, 0, 0, 0, 19, 0, 24, 2, 68, 33, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0]
[51, 49, 0, 71, 1, 0, 39, 0, 62, 69, 66, 0, 0, 0, 0, 37, 0, 33, 24, 0, 0, 0, 55, 66, 38, 19, 0, 91, 76, 9, 0, 79, 0, 10, 79, 55, 0, 25, 14, 0, 17, 86]
[0, 66, 0, 0, 11, 83, 21, 0, 0, 0, 0, 0, 78, 0, 0, 64, 0, 13, 0, 23, 34, 0, 0, 88, 0, 0, 91, 0, 0, 86, 17, 0, 0, 44, 6, 14, 0, 81, 0, 0, 0, 0]
[0, 0, 0, 83, 42, 0, 47, 81, 72, 85, 0, 49, 81, 63, 0, 25, 88, 0, 0, 89, 48, 54, 0, 97, 0, 24, 76, 0, 0, 0, 3, 31, 22, 0, 53, 30, 0, 62, 0, 96, 0, 76]
[0, 1, 0, 0, 38, 0, 50, 92, 38, 0, 55, 19, 85, 0, 57, 0, 58, 89, 0, 9, 0, 86, 0, 0, 0, 2, 9, 86, 0, 23, 0, 0, 0, 0, 0, 34, 0, 0, 70, 75, 0, 0]
[0, 54, 0, 0, 53, 2, 0, 0, 53, 0, 51, 0, 0, 0, 15, 0, 82, 14, 27, 86, 0, 57, 0, 53, 0, 68, 0, 17, 3, 0, 38, 48, 77, 44, 0, 0, 0, 90, 73, 56, 14, 53]
[39, 0, 19, 0, 30, 48, 0, 0, 0, 0, 0, 0, 87, 68, 32, 0, 0, 64, 0, 0, 0, 0, 47, 11, 0, 33, 79, 0, 31, 0, 48, 72, 91, 0, 0, 0, 0, 0, 80, 41, 0, 15]
[57, 58, 0, 0, 0, 7, 0, 62, 56, 0, 0, 0, 0, 0, 75, 5, 44, 51, 47, 5, 0, 96, 60, 0, 61, 0, 0, 0, 22, 0, 77, 91, 0, 0, 67, 70, 2, 68, 0, 0, 51, 98]
[0, 0, 0, 98, 5, 13, 0, 60, 67, 0, 0, 0, 85, 0, 0, 53, 21, 76, 0, 42, 0, 0, 3, 76, 0, 0, 10, 44, 0, 0, 44, 0, 0, 0, 16, 36, 62, 98, 69, 0, 47, 0]
[0, 0, 43, 87, 0, 50, 0, 0, 3, 76, 0, 75, 0, 0, 0, 38, 55, 48, 0, 0, 0, 23, 93, 45, 0, 0, 79, 6, 53, 0, 0, 0, 67, 16, 86, 0, 62, 37, 0, 0, 0, 0]
[78, 38, 68, 0, 0, 0, 34, 36, 31, 0, 0, 0, 44, 0, 0, 0, 0, 38, 49, 30, 0, 0, 0, 90, 0, 52, 55, 14, 30, 34, 0, 0, 70, 36, 0, 0, 68, 0, 0, 0, 12, 0]
