[15, 0, 0, 58, 45, 93, 78, 0, 49, 0, 0, 1, 74, 0, 0, 3, 0, 68, 0, 89, 90, 33, 0, 87, 85, 83, 0, 80, 0, 88, 0, 0, 0, 19, 0, 30, 15, 0, 10, 0, 0, 0, 0, 0]
[0, 0, 39, 50, 0, 56, 69, 59, 59, 88, 14, 0, 43, 0, 0, 0, 35, 0, 59, 0, 38, 0, 98, 0, 0, 42, 0, 21, 0, 0, 79, 98, 4, 48, 7, 0, 3, 56, 0, 0, 0, 88, 89, 0]
[0, 39, 0, 64, 0, 46, 0, 18, 7, 26, 96, 1, 0, 0, 0, 0, 21, 98, 33, 91, 22, 0, 0, 7, 1, 0, 0, 91, 79, 0, 22, 0, 98, 93, 35, 54, 0, 0, 0, 0, 94, 59, 47, 22]
[58, 50, 64, 0, 56, 19, 85, 0, 16, 95, 0, 61, 88, 33, 0, 0, 33, 98, 0, 0, 94, 54, 0, 0, 0, 41, 96, 0, 0, 59, 9, 8, 0, 0, 0, 99, 0, 0, 0, 87, 29, 0, 69, 32]
[45, 0, 0, 56, 0, 90, 87, 0, 0, 47, 0, 39, 41, 0, 0, 53, 0, 68, 90, 55, 0, 97, 0, 60, 0, 98, 55, 0, 32, 10, 0, 96, 87, 63, 0, 0, 0, 41, 42, 0, 0, 47, 49, 6]
[93, 56, 46, 19, 90, 0, 43, 0, 59, 0, 0, 0, 0, 0, 40, 30, 5, 0, 84, 47, 0, 77, 0, 48, 88, 34, 90, 0, 0, 0, 0, 0, 0, 0, 0, 45, 45, 63, 0, 70, 25, 0, 69, 71]
[78, 69, 0, 85, 87, 43, 0, 80, 44, 47, 0, 12, 89, 85, 0, 20, 3, 44, 0, 30, 0, 75, 0, 0, 92, 0, 0, 48, 33, 0, 0, 5, 60, 0, 61, 75, 76, 0, 0, 98, 22, 0, 69, 82]
[0, 59, 18, 0, 0, 0, 80, 13, 86, 0, 0, 0, 53, 1, 0, 10, 8, 87, 43, 43, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 77, 66, 98, 56, 63, 50, 42, 14, 0, 0, 0, 99, 65, 21]
[49, 59, 7, 16, 0, 59, 44, 86, 0, 99, 76, 26, 13, 0, 0, 32, 85, 29, 96, 0, 88, 12, 0, 0, 99, 0, 12, 27, 60, 68, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 24, 59, 51]
[0, 88, 26, 95, 47, 0, 47, 0, 99, 15, 37, 0, 13, 88, 42, 94, 0, 88, 79, 43, 12, 0, 83, 68, 87, 99, 58, 0, 0, 0, 0, 96, 0, 53, 0, 0, 0, 0, 40, 0, 22, 46, 0, 0]
[0, 14, 96, 0, 0, 0, 0, 0, 76, 37, 49, 69, 0, 52, 4, 22, 42, 42, 0, 0, 0, 0, 0, 85, 33, 0, 0, 85, 0, 0, 0, 19, 49, 78, 29, 0, 78, 0, 65, 21, 78, 82, 16, 0]
