[0, 83, 23, 0, 0, 0, 78, 0, 0, 68, 0, 0, 27, 0, 70, 71, 97, 78, 0, 41, 21, 0, 0, 0, 0, 4, 0, 0, 0, 0, 60, 0, 0, 70, 0, 47, 11, 73, 14, 64, 73, 84, 80, 0, 61, 0, 0]
[83, 0, 30, 62, 0, 0, 0, 56, 0, 98, 96, 53, 0, 0, 36, 0, 3, 0, 29, 42, 0, 0, 74, 42, 29, 4, 11, 67, 87, 0, 40, 41, 87, 0, 0, 37, 0, 0, 0, 0, 0, 96, 0, 15, 2, 0, 70]
[23, 30, 0, 0, 59, 0, 0, 53, 3, 0, 1, 0, 0, 0, 9, 54, 0, 4, 97, 5, 12, 0, 53, 92, 0, 35, 66, 0, 98, 0, 34, 48, 0, 60, 35, 0, 0, 0, 72, 45, 82, 60, 0, 0, 61, 82, 0]
[0, 62, 0, 0, 0, 33, 92, 45, 69, 66, 0, 0, 10, 0, 59, 32, 62, 0, 0, 96, 49, 48, 0, 0, 0, 23, 0, 58, 0, 0, 0, 92, 70, 1, 0, 29, 0, 40, 34, 18, 0, 0, 71, 57, 0, 54, 23]
[0, 0, 59, 0, 0, 12, 40, 56, 0, 26, 0, 0, 30, 0, 96, 0, 41, 0, 1, 0, 6, 0, 19, 0, 0, 0, 0, 0, 0, 12, 0, 11, 0, 0, 15, 0, 0, 0, 83, 0, 0, 20, 69, 0, 38, 0, 22]
[0, 0, 0, 33, 12, 0, 83, 0, 0, 0, 0, 0, 43, 0, 97, 0, 0, 96, 0, 39, 0, 40, 0, 0, 0, 55, 0, 9, 90, 43, 56, 0, 0, 0, 0, 89, 64, 0, 20, 34, 0, 0, 0, 0, 17, 0, 76]
[78, 0, 0, 92, 40, 83, 0, 0, 0, 1, 0, 48, 0, 47, 0, 32, 0, 93, 9, 0, 0, 80, 90, 94, 0, 0, 0, 0, 31, 11, 67, 0, 13, 0, 93, 0, 56, 57, 76, 0, 0, 14, 0, 0, 0, 0, 31]
[0, 56, 53, 45, 56, 0, 0, 0, 25, 29, 0, 29, 90, 0, 80, 91, 0, 54, 0, 0, 65, 9, 0, 60, 0, 18, 0, 19, 0, 0, 0, 41, 23, 0, 0, 4, 29, 0, 0, 0, 12, 0, 76, 0, 13, 0, 28]
[0, 0, 3, 69, 0, 0, 0, 25, 0, 0, 43, 48, 0, 16, 0, 0, 0, 10, 55, 0, 0, 0, 75, 15, 0, 0, 82, 99, 0, 18, 0, 0, 0, 0, 0, 0, 0, 89, 18, 31, 0, 0, 27, 0, 0, 96, 0]
[68, 98, 0, 66, 26, 0, 1, 29, 0, 87, 0, 0, 32, 17, 0, 53, 81, 0, 0, 72, 0, 0, 76, 0, 11, 94, 0, 0, 41, 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 8, 84, 19, 0, 0, 79, 48]
