[0, 71, 0, 95, 0, 0, 0, 0, 67, 43, 51, 36, 0, 87, 0, 13, 51, 5, 71, 30, 94, 0, 47, 0, 67, 94, 63, 0, 0, 0, 0, 24, 0, 0, 0, 86, 47, 25, 0, 0, 0, 0, 0, 95, 37, 0, 34, 0]
[71, 0, 0, 88, 0, 0, 23, 0, 41, 0, 10, 72, 0, 0, 95, 60, 0, 15, 0, 0, 0, 75, 0, 0, 63, 85, 0, 51, 45, 0, 0, 0, 0, 0, 84, 58, 67, 82, 10, 74, 25, 66, 46, 0, 0, 99, 78, 0]
[0, 0, 0, 0, 61, 93, 0, 0, 0, 0, 48, 88, 7, 25, 0, 0, 0, 42, 5, 89, 1, 53, 4, 0, 0, 6, 32, 53, 58, 62, 99, 0, 34, 0, 39, 0, 2, 0, 0, 40, 0, 0, 15, 69, 0, 0, 0, 85]
[95, 88, 0, 72, 50, 0, 0, 0, 20, 0, 0, 34, 13, 62, 70, 0, 0, 78, 0, 0, 0, 45, 0, 0, 91, 0, 0, 0, 67, 0, 25, 34, 17, 3, 0, 59, 45, 0, 0, 88, 0, 0, 7, 28, 38, 82, 0, 0]
[0, 0, 61, 50, 0, 0, 0, 40, 0, 82, 0, 85, 65, 0, 0, 0, 91, 0, 60, 78, 0, 0, 0, 74, 0, 79, 93, 15, 0, 48, 0, 0, 29, 0, 57, 22, 0, 93, 0, 40, 3, 0, 0, 0, 47, 8, 23, 0]
[0, 0, 93, 0, 0, 0, 30, 0, 0, 50, 22, 0, 0, 0, 0, 98, 0, 88, 0, 0, 0, 0, 27, 0, 73, 65, 0, 0, 0, 22, 0, 0, 0, 0, 0, 8, 0, 0, 0, 43, 97, 2, 86, 95, 34, 0, 53, 0]
[0, 23, 0, 0, 0, 30, 33, 0, 46, 0, 83, 93, 63, 9, 38, 0, 71, 67, 0, 90, 0, 63, 0, 52, 0, 67, 0, 65, 23, 16, 64, 0, 0, 0, 62, 43, 0, 0, 81, 0, 0, 10, 29, 63, 0, 0, 85, 0]
[0, 0, 0, 0, 40, 0, 0, 48, 3, 48, 0, 29, 0, 0, 0, 0, 55, 0, 85, 20, 97, 10, 0, 0, 36, 0, 40, 66, 0, 98, 39, 39, 0, 0, 0, 0, 24, 0, 0, 45, 0, 79, 70, 0, 4, 1, 10, 32]
[67, 41, 0, 20, 0, 0, 46, 3, 69, 0, 0, 0, 6, 0, 38, 75, 35, 26, 0, 19, 30, 69, 75, 0, 0, 18, 92, 77, 89, 0, 16, 0, 0, 0, 48, 0, 0, 0, 61, 0, 0, 2, 0, 0, 43, 15, 84, 0]
[43, 0, 0, 0, 82, 50, 0, 48, 0, 0, 0, 0, 26, 82, 85, 0, 0, 70, 0, 43, 0, 0, 89, 57, 0, 99, 0, 0, 27, 82, 90, 30, 27, 0, 21, 66, 7, 10, 70, 7, 0, 31, 0, 0, 0, 0, 0, 37]
[51, 10, 48, 0, 0, 22, 83, 0, 0, 0, 1, 0, 43, 0, 0, 0, 55, 0, 63, 95, 2, 0, 3, 0, 35, 27, 0, 0, 61, 55, 0, 69, 19, 0, 39, 87, 25, 55, 63, 44, 71, 73, 87, 0, 97, 0, 38, 0]
[36, 72, 88, 34, 85, 0, 93, 29, 0, 0, 0, 0, 85, 92, 61, 77, 0, 15, 0, 0, 0, 66, 0, 0, 50, 0, 0, 92, 67, 0, 68, 0, 0, 0, 31, 23, 27, 70, 0, 0, 44, 0, 90, 45, 0, 0, 83, 0]
[0, 0, 7, 13, 65, 0, 63, 0, 6, 26, 43, 85, 0, 10, 0, 7, 57, 0, 65, 78, 0, 2, 27, 0, 34, 79, 14, 76, 31, 0, 30, 0, 0, 16, 18, 81, 0, 0, 0, 0, 60, 23, 0, 0, 0, 0, 0, 0]
[87, 0, 25, 62, 0, 0, 9, 0, 0, 82, 0, 92, 10, 0, 40, 83, 57, 0, 0, 0, 72, 92, 0, 84, 22, 0, 69, 22, 0, 56, 23, 2, 36, 48, 74, 0, 14, 2, 74, 0, 0, 50, 9, 0, 77, 0, 0, 6]
[0, 95, 0, 70, 0, 0, 38, 0, 38, 85, 0, 61, 0, 40, 0, 0, 0, 40, 0, 0, 92, 0, 81, 44, 13, 90, 0, 68, 86, 0, 0, 0, 48, 81, 30, 0, 0, 0, 44, 0, 0, 0, 62, 0, 0, 24, 9, 0]
[13, 60, 0, 0, 0, 98, 0, 0, 75, 0, 0, 77, 7, 83, 0, 0, 0, 91, 0, 60, 0, 0, 18, 0, 73, 33, 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 59, 86, 0, 0, 0, 44, 0, 0, 77, 0, 9]
[51, 0, 0, 0, 91, 0, 71, 55, 35, 0, 55, 0, 57, 57, 0, 0, 0, 4, 60, 0, 0, 48, 0, 0, 1, 11, 0, 0, 0, 0, 20, 63, 85, 25, 0, 79, 22, 0, 19, 0, 65, 0, 26, 61, 0, 88, 0, 0]
[5, 15, 42, 78, 0, 88, 67, 0, 26, 70, 0, 15, 0, 0, 40, 91, 4, 55, 43, 62, 5, 0, 0, 89, 0, 0, 0, 22, 75, 0, 0, 43, 0, 0, 50, 80, 96, 95, 50, 68, 0, 20, 16, 0, 48, 82, 4, 0]
[71, 0, 5, 0, 60, 0, 0, 85, 0, 0, 63, 0, 65, 0, 0, 0, 60, 43, 0, 56, 59, 34, 0, 8, 0, 53, 6, 57, 19, 0, 0, 35, 0, 0, 49, 96, 0, 0, 94, 0, 75, 43, 96, 0, 2, 0, 23, 0]
[30, 0, 89, 0, 78, 0, 90, 20, 19, 43, 95, 0, 78, 0, 0, 60, 0, 62, 56, 11, 0, 0, 0, 0, 34, 0, 58, 0, 0, 0, 17, 77, 0, 0, 60, 0, 0, 79, 0, 0, 54, 0, 50, 0, 34, 52, 36, 28]
[94, 0, 1, 0, 0, 0, 0, 97, 30, 0, 2, 0, 0, 72, 92, 0, 0, 5, 59, 0, 67, 0, 0, 0, 0, 0, 0, 4, 0, 76, 0, 7, 24, 0, 0, 51, 0, 67, 0, 87, 0, 0, 0, 6, 0, 12, 0, 50]
[0, 75, 53, 45, 0, 0, 63, 10, 69, 0, 0, 66, 2, 92, 0, 0, 48, 0, 34, 0, 0, 0, 0, 38, 21, 0, 0, 0, 64, 13, 0, 36, 0, 0, 70, 0, 37, 82, 21, 0, 0, 0, 20, 0, 48, 79, 4, 96]
[47, 0, 4, 0, 0, 27, 0, 0, 75, 89, 3, 0, 27, 0, 81, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 7, 25, 58, 0, 43, 0, 0, 0, 49, 0, 0, 0, 46, 0, 0, 32, 0, 0, 0, 0]
[0, 0, 0, 0, 74, 0, 52, 0, 0, 57, 0, 0, 0, 84, 44, 0, 0, 89, 8, 0, 0, 38, 0, 0, 0, 0, 0, 0, 34, 0, 3, 0, 0, 48, 94, 0, 0, 0, 55, 52, 84, 0, 0, 1, 54, 77, 0, 17]
[67, 63, 0, 91, 0, 73, 0, 36, 0, 0, 35, 50, 34, 22, 13, 73, 1, 0, 0, 34, 0, 21, 0, 0, 79, 0, 0, 39, 33, 0, 34, 95, 87, 0, 0, 50, 11, 81, 0, 0, 0, 0, 95, 0, 15, 23, 73, 0]
