[0, 61, 0, 0, 70, 0, 31, 85, 45, 10, 0, 0, 86, 54, 89, 63, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 59, 42, 19, 0, 93, 63, 0, 59, 0, 0, 0, 0, 69, 0, 0, 0, 15]
[61, 0, 76, 0, 1, 0, 76, 0, 0, 61, 0, 16, 0, 71, 0, 0, 85, 84, 0, 15, 0, 0, 0, 0, 8, 39, 96, 40, 0, 41, 74, 86, 0, 62, 0, 0, 0, 20, 19, 8, 0, 96, 10, 19]
[0, 76, 0, 0, 95, 73, 0, 0, 0, 61, 14, 75, 0, 0, 3, 8, 0, 35, 82, 0, 44, 0, 85, 0, 77, 0, 77, 0, 0, 0, 80, 92, 60, 0, 0, 3, 72, 21, 0, 46, 0, 0, 99, 0]
[0, 0, 0, 0, 72, 43, 0, 0, 0, 70, 0, 17, 0, 43, 63, 0, 0, 46, 0, 0, 45, 0, 84, 47, 70, 43, 0, 92, 95, 0, 0, 76, 0, 20, 0, 0, 88, 3, 0, 51, 0, 0, 0, 0]
[70, 1, 95, 72, 0, 0, 53, 73, 62, 0, 0, 1, 4, 0, 0, 0, 0, 0, 0, 0, 66, 14, 98, 0, 0, 19, 0, 0, 0, 0, 0, 8, 0, 0, 85, 98, 69, 23, 0, 0, 49, 93, 73, 28]
[0, 0, 73, 43, 0, 58, 0, 33, 82, 0, 0, 53, 0, 0, 0, 0, 27, 94, 12, 97, 0, 0, 27, 0, 0, 0, 0, 15, 90, 0, 0, 0, 0, 27, 0, 0, 0, 0, 55, 28, 48, 0, 0, 0]
[31, 76, 0, 0, 53, 0, 0, 98, 0, 0, 0, 95, 65, 0, 44, 9, 0, 0, 59, 0, 0, 0, 5, 60, 0, 58, 0, 0, 0, 62, 47, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 77, 89, 0]
[85, 0, 0, 0, 73, 33, 98, 77, 0, 5, 15, 3, 0, 0, 30, 78, 29, 35, 14, 0, 0, 0, 0, 0, 96, 0, 16, 81, 0, 41, 30, 0, 0, 15, 99, 0, 0, 0, 0, 56, 35, 95, 67, 64]
[45, 0, 0, 0, 62, 82, 0, 0, 0, 0, 46, 36, 48, 0, 29, 0, 0, 0, 0, 16, 77, 0, 26, 13, 0, 71, 93, 79, 0, 38, 0, 48, 0, 0, 15, 13, 66, 88, 56, 39, 0, 91, 84, 41]
[10, 61, 61, 70, 0, 0, 0, 5, 0, 0, 13, 0, 0, 32, 4, 46, 69, 22, 0, 0, 65, 70, 5, 49, 55, 0, 0, 0, 0, 0, 0, 0, 20, 0, 55, 0, 0, 0, 93, 0, 13, 84, 0, 0]
