[0, 63, 33, 15, 98, 66, 0, 0, 0, 0, 26, 0, 0, 37, 0, 53, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 68, 23, 0, 11, 44, 0, 38, 63, 27, 0, 0, 86, 0]
[63, 0, 0, 78, 48, 0, 0, 19, 21, 1, 0, 0, 0, 8, 36, 0, 93, 34, 35, 84, 29, 7, 26, 0, 1, 92, 0, 0, 0, 85, 0, 0, 0, 83, 0, 48, 0, 0, 4, 34, 86, 59, 0, 17, 16]
[33, 0, 0, 0, 0, 35, 61, 43, 81, 0, 0, 0, 0, 10, 0, 0, 0, 0, 54, 24, 79, 0, 0, 0, 0, 14, 0, 67, 0, 35, 0, 0, 0, 0, 0, 0, 0, 37, 33, 0, 0, 71, 53, 34, 44]
[15, 78, 0, 40, 0, 3, 0, 16, 97, 28, 0, 86, 0, 0, 0, 0, 66, 0, 50, 51, 0, 0, 0, 0, 0, 44, 5, 38, 66, 0, 41, 0, 0, 89, 0, 76, 0, 41, 62, 92, 17, 0, 0, 0, 0]
[98, 48, 0, 0, 3, 0, 59, 74, 0, 0, 0, 56, 0, 0, 0, 55, 25, 0, 0, 84, 0, 53, 0, 55, 12, 0, 10, 0, 56, 38, 0, 0, 0, 58, 20, 0, 8, 72, 61, 75, 39, 50, 0, 26, 0]
[66, 0, 35, 3, 0, 0, 49, 0, 0, 35, 57, 0, 75, 0, 23, 0, 0, 0, 15, 94, 0, 94, 34, 49, 0, 93, 30, 88, 0, 0, 0, 0, 0, 0, 15, 0, 0, 26, 73, 0, 0, 0, 0, 0, 0]
[0, 0, 61, 0, 59, 49, 0, 18, 0, 36, 35, 65, 0, 0, 0, 14, 0, 0, 0, 12, 76, 0, 85, 59, 94, 0, 54, 68, 16, 23, 61, 72, 5, 58, 0, 0, 74, 95, 70, 64, 10, 0, 80, 92, 46]
[0, 19, 43, 16, 74, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 70, 0, 4, 0, 92, 0, 30, 0, 25, 0, 70, 0, 21, 0, 94, 0, 53, 81, 0]
[0, 21, 81, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 28, 0, 86, 0, 16, 7, 0, 3, 74, 43, 0, 76, 0, 86, 44, 89, 52, 93, 77, 32, 35, 0, 0, 0, 0, 95, 72, 36]
[0, 1, 0, 28, 0, 35, 36, 0, 0, 0, 84, 0, 71, 91, 0, 0, 56, 0, 0, 54, 0, 93, 0, 55, 0, 0, 31, 32, 0, 0, 0, 0, 72, 0, 86, 0, 60, 0, 56, 84, 34, 0, 0, 0, 34]
[26, 0, 0, 0, 0, 57, 35, 0, 0, 84, 0, 70, 0, 97, 36, 0, 0, 0, 29, 0, 0, 0, 46, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 68, 0, 16, 47, 0, 0, 0]
