[2, 23, 66, 96, 0, 0, 0, 0, 17, 0, 80, 0, 0, 85, 0, 60, 0, 0, 60, 0, 83, 0, 59, 0, 0, 28, 2, 0, 97, 66, 27, 0, 76, 0, 0, 32]
[23, 85, 33, 0, 0, 0, 62, 0, 0, 83, 0, 0, 70, 0, 81, 95, 0, 0, 26, 27, 0, 13, 12, 43, 0, 8, 0, 0, 49, 0, 0, 0, 0, 0, 56, 0]
[66, 33, 0, 0, 12, 61, 98, 0, 22, 58, 63, 0, 53, 10, 68, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 89, 0, 14, 47, 0, 48, 0, 0, 49]
[96, 0, 0, 0, 0, 0, 81, 0, 0, 79, 0, 0, 0, 2, 0, 0, 28, 10, 65, 56, 0, 0, 0, 0, 0, 94, 0, 0, 90, 55, 0, 87, 0, 77, 60, 0]
[0, 0, 12, 0, 0, 0, 29, 0, 49, 15, 0, 37, 0, 0, 0, 0, 0, 9, 0, 0, 63, 15, 0, 0, 5, 21, 18, 6, 4, 56, 0, 35, 0, 0, 69, 76]
[0, 0, 61, 0, 0, 69, 0, 66, 0, 37, 0, 66, 0, 16, 0, 0, 0, 0, 24, 0, 0, 59, 0, 24, 0, 53, 0, 0, 9, 48, 50, 65, 17, 57, 64, 68]
[0, 62, 98, 81, 29, 0, 0, 4, 0, 59, 50, 0, 63, 0, 0, 51, 0, 37, 36, 70, 26, 0, 93, 0, 27, 0, 49, 0, 31, 0, 0, 0, 0, 0, 76, 57]
[0, 0, 0, 0, 0, 66, 4, 0, 0, 0, 0, 39, 0, 0, 0, 0, 60, 53, 76, 0, 79, 0, 0, 0, 16, 84, 90, 0, 3, 0, 10, 0, 91, 0, 7, 11]
[17, 0, 22, 0, 49, 0, 0, 0, 0, 60, 0, 1, 0, 0, 37, 0, 0, 21, 19, 37, 35, 45, 48, 40, 0, 63, 87, 0, 0, 44, 0, 17, 0, 35, 64, 0]
[0, 83, 58, 79, 15, 37, 59, 0, 60, 57, 0, 0, 55, 24, 0, 0, 58, 54, 0, 0, 0, 0, 14, 0, 0, 90, 0, 63, 0, 75, 0, 0, 0, 0, 0, 15]
[80, 0, 63, 0, 0, 0, 50, 0, 0, 0, 0, 69, 0, 0, 0, 9, 14, 0, 0, 99, 0, 38, 0, 0, 69, 17, 63, 40, 81, 72, 42, 29, 9, 13, 0, 0]
[0, 0, 0, 0, 37, 66, 0, 39, 1, 0, 69, 32, 48, 0, 11, 0, 91, 30, 0, 0, 0, 91, 0, 0, 0, 89, 49, 90, 0, 93, 8, 94, 0, 34, 44, 80]
[0, 70, 53, 0, 0, 0, 63, 0, 0, 55, 0, 48, 0, 0, 0, 67, 0, 22, 57, 0, 0, 0, 67, 0, 38, 60, 2, 0, 55, 8, 0, 0, 94, 0, 0, 27]
[85, 0, 10, 2, 0, 16, 0, 0, 0, 24, 0, 0, 0, 70, 71, 0, 0, 60, 0, 0, 0, 31, 98, 0, 0, 65, 59, 0, 0, 61, 0, 0, 95, 57, 53, 0]
[0, 81, 68, 0, 0, 0, 0, 0, 37, 0, 0, 11, 0, 71, 0, 44, 62, 0, 90, 29, 0, 19, 0, 0, 0, 99, 86, 33, 53, 68, 98, 55, 0, 74, 0, 0]
[60, 95, 0, 0, 0, 0, 51, 0, 0, 0, 9, 0, 67, 0, 44, 0, 0, 37, 0, 0, 0, 0, 0, 57, 81, 0, 0, 0, 0, 0, 0, 54, 0, 0, 76, 0]
[0, 0, 0, 28, 0, 0, 0, 60, 0, 58, 14, 91, 0, 0, 62, 0, 62, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 86, 0, 26, 93, 0, 0, 60, 83, 41]
[0, 0, 0, 10, 9, 0, 37, 53, 21, 54, 0, 30, 22, 60, 0, 37, 0, 0, 95, 0, 75, 0, 75, 0, 64, 0, 0, 6, 0, 0, 23, 0, 23, 84, 0, 50]
[60, 26, 0, 65, 0, 24, 36, 76, 19, 0, 0, 0, 57, 0, 90, 0, 0, 95, 79, 96, 0, 30, 0, 19, 17, 0, 0, 75, 8, 29, 0, 6, 38, 86, 0, 25]
[0, 27, 0, 56, 0, 0, 70, 0, 37, 0, 99, 0, 0, 0, 29, 0, 0, 0, 96, 0, 0, 25, 0, 49, 2, 0, 6, 0, 63, 11, 0, 79, 0, 0, 61, 76]
[83, 0, 0, 0, 63, 0, 26, 79, 35, 0, 0, 0, 0, 0, 0, 0, 40, 75, 0, 0, 0, 59, 0, 88, 27, 0, 0, 82, 0, 39, 32, 0, 0, 78, 0, 0]
[0, 13, 0, 0, 15, 59, 0, 0, 45, 0, 38, 91, 0, 31, 19, 0, 0, 0, 30, 25, 59, 0, 0, 89, 3, 0, 0, 54, 4, 35, 0, 0, 26, 0, 37, 40]
[59, 12, 33, 0, 0, 0, 93, 0, 48, 14, 0, 0, 67, 98, 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 52, 23, 90, 80, 0, 69]
[0, 43, 0, 0, 0, 24, 0, 0, 40, 0, 0, 0, 0, 0, 0, 57, 0, 0, 19, 49, 88, 89, 0, 0, 0, 0, 8, 11, 0, 0, 7, 52, 25, 30, 0, 38]
[0, 0, 0, 0, 5, 0, 27, 16, 0, 0, 69, 0, 38, 0, 0, 81, 0, 64, 17, 2, 27, 3, 0, 0, 0, 0, 0, 6, 0, 98, 50, 0, 0, 13, 15, 16]
[28, 8, 0, 94, 21, 53, 0, 84, 63, 90, 17, 89, 60, 65, 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 56, 47, 0, 0, 38, 74, 0, 0]
[2, 0, 0, 0, 18, 0, 49, 90, 87, 0, 63, 49, 2, 59, 86, 0, 0, 0, 0, 6, 0, 0, 0, 8, 0, 3, 0, 0, 18, 40, 76, 13, 74, 0, 26, 47]
[0, 0, 89, 0, 6, 0, 0, 0, 0, 63, 40, 90, 0, 0, 33, 0, 86, 6, 75, 0, 82, 54, 0, 11, 6, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0]
[97, 49, 0, 90, 4, 9, 31, 3, 0, 0, 81, 0, 55, 0, 53, 0, 0, 0, 8, 63, 0, 4, 0, 0, 0, 56, 18, 0, 0, 64, 0, 29, 0, 52, 0, 7]
[66, 0, 14, 55, 56, 48, 0, 0, 44, 75, 72, 93, 8, 61, 68, 0, 26, 0, 29, 11, 39, 35, 20, 0, 98, 47, 40, 0, 64, 86, 56, 90, 0, 68, 0, 77]
[27, 0, 47, 0, 0, 50, 0, 10, 0, 0, 42, 8, 0, 0, 98, 0, 93, 23, 0, 0, 32, 0, 52, 7, 50, 0, 76, 0, 0, 56, 83, 0, 35, 0, 0, 0]
[0, 0, 0, 87, 35, 65, 0, 0, 17, 0, 29, 94, 0, 0, 55, 54, 0, 0, 6, 79, 0, 0, 23, 52, 0, 0, 13, 0, 29, 90, 0, 0, 48, 81, 14, 0]
[76, 0, 48, 0, 0, 17, 0, 91, 0, 0, 9, 0, 94, 95, 0, 0, 0, 23, 38, 0, 0, 26, 90, 25, 0, 38, 74, 22, 0, 0, 35, 48, 0, 48, 15, 0]
[0, 0, 0, 77, 0, 57, 0, 0, 35, 0, 13, 34, 0, 57, 74, 0, 60, 84, 86, 0, 78, 0, 80, 30, 13, 74, 0, 0, 52, 68, 0, 81, 48, 0, 50, 0]
[0, 56, 0, 60, 69, 64, 76, 7, 64, 0, 0, 44, 0, 53, 0, 76, 83, 0, 0, 61, 0, 37, 0, 0, 15, 0, 26, 0, 0, 0, 0, 14, 15, 50, 55, 4]
[32, 0, 49, 0, 76, 68, 57, 11, 0, 15, 0, 80, 27, 0, 0, 0, 41, 50, 25, 76, 0, 40, 69, 38, 16, 0, 47, 0, 7, 77, 0, 0, 0, 0, 4, 0]
