[0, 46, 0, 0, 35, 21, 0, 0, 0, 0, 0, 0, 0, 89, 75, 26, 0, 0, 0, 0, 0, 0, 64, 0, 0]
[46, 0, 0, 0, 4, 0, 0, 0, 44, 0, 0, 0, 42, 11, 0, 34, 0, 40, 0, 0, 0, 56, 72, 0, 0]
[0, 0, 0, 72, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 76, 30, 78, 0, 0, 36, 96, 82, 53, 80]
[0, 0, 72, 0, 61, 32, 0, 0, 12, 0, 27, 55, 91, 0, 26, 0, 0, 0, 26, 27, 42, 98, 3, 61, 24]
[35, 4, 77, 61, 0, 69, 0, 94, 0, 0, 0, 72, 0, 0, 0, 87, 99, 0, 57, 27, 0, 57, 0, 0, 0]
[21, 0, 0, 32, 69, 27, 0, 50, 61, 0, 0, 0, 61, 0, 0, 0, 0, 0, 35, 99, 92, 0, 0, 0, 4]
[0, 0, 0, 0, 0, 0, 0, 80, 83, 0, 0, 67, 19, 0, 45, 29, 0, 70, 0, 0, 41, 71, 69, 40, 0]
[0, 0, 0, 0, 94, 50, 80, 0, 13, 0, 7, 86, 88, 0, 0, 0, 0, 0, 51, 0, 25, 53, 0, 59, 87]
[0, 44, 0, 12, 0, 61, 83, 13, 98, 0, 81, 0, 63, 0, 0, 28, 86, 0, 86, 0, 0, 73, 49, 22, 46]
[0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 0, 50, 0, 15, 0, 0, 36, 96, 0, 48, 85, 0, 37, 26, 0]
[0, 0, 0, 27, 0, 0, 0, 7, 81, 0, 0, 82, 0, 39, 5, 74, 0, 0, 29, 0, 0, 0, 16, 61, 9]
[0, 0, 0, 55, 72, 0, 67, 86, 0, 50, 82, 74, 0, 0, 52, 13, 24, 0, 0, 0, 0, 5, 0, 0, 20]
[0, 42, 0, 91, 0, 61, 19, 88, 63, 0, 0, 0, 0, 60, 8, 78, 36, 0, 0, 0, 36, 6, 36, 43, 86]
[89, 11, 0, 0, 0, 0, 0, 0, 0, 15, 39, 0, 60, 0, 0, 0, 43, 0, 32, 35, 0, 75, 0, 0, 0]
[75, 0, 43, 26, 0, 0, 45, 0, 0, 0, 5, 52, 8, 0, 76, 0, 0, 0, 30, 70, 0, 93, 0, 42, 41]
[26, 34, 76, 0, 87, 0, 29, 0, 28, 0, 74, 13, 78, 0, 0, 3, 34, 12, 76, 42, 0, 0, 42, 0, 41]
[0, 0, 30, 0, 99, 0, 0, 0, 86, 36, 0, 24, 36, 43, 0, 34, 0, 52, 90, 16, 0, 0, 0, 0, 68]
[0, 40, 78, 0, 0, 0, 70, 0, 0, 96, 0, 0, 0, 0, 0, 12, 52, 0, 0, 0, 42, 20, 87, 0, 0]
[0, 0, 0, 26, 57, 35, 0, 51, 86, 0, 29, 0, 0, 32, 30, 76, 90, 0, 0, 0, 0, 0, 4, 0, 23]
[0, 0, 0, 27, 27, 99, 0, 0, 0, 48, 0, 0, 0, 35, 70, 42, 16, 0, 0, 0, 11, 4, 67, 88, 55]
[0, 0, 36, 42, 0, 92, 41, 25, 0, 85, 0, 0, 36, 0, 0, 0, 0, 42, 0, 11, 0, 0, 0, 0, 0]
[0, 56, 96, 98, 57, 0, 71, 53, 73, 0, 0, 5, 6, 75, 93, 0, 0, 20, 0, 4, 0, 0, 0, 0, 0]
[64, 72, 82, 3, 0, 0, 69, 0, 49, 37, 16, 0, 36, 0, 0, 42, 0, 87, 4, 67, 0, 0, 0, 0, 8]
[0, 0, 53, 61, 0, 0, 40, 59, 22, 26, 61, 0, 43, 0, 42, 0, 0, 0, 0, 88, 0, 0, 0, 0, 0]
[0, 0, 80, 24, 0, 4, 0, 87, 46, 0, 9, 20, 86, 0, 41, 41, 68, 0, 23, 55, 0, 0, 8, 0, 0]
