[0, 61, 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 64, 0, 0, 88, 10, 0, 0, 0, 0, 0]
[61, 52, 77, 34, 61, 40, 0, 12, 0, 0, 0, 20, 63, 0, 82, 75, 0, 2, 0, 41, 77, 0, 0]
[0, 77, 30, 98, 0, 44, 14, 88, 0, 63, 72, 0, 78, 40, 0, 94, 0, 0, 0, 0, 73, 0, 86]
[0, 34, 98, 37, 0, 0, 76, 0, 73, 0, 86, 0, 55, 0, 67, 0, 0, 59, 0, 55, 0, 0, 0]
[0, 61, 0, 0, 0, 0, 33, 0, 86, 7, 78, 0, 76, 0, 0, 79, 0, 29, 0, 1, 11, 0, 0]
[0, 40, 44, 0, 0, 77, 0, 73, 0, 85, 0, 0, 0, 78, 0, 0, 27, 0, 0, 12, 0, 38, 66]
[0, 0, 14, 76, 33, 0, 0, 17, 0, 98, 6, 0, 0, 69, 6, 88, 0, 0, 50, 78, 71, 0, 0]
[82, 12, 88, 0, 0, 73, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 96, 0, 0, 0, 0, 48, 26]
[0, 0, 0, 73, 86, 0, 0, 0, 22, 50, 44, 0, 0, 62, 0, 0, 0, 85, 0, 79, 42, 16, 38]
[0, 0, 63, 0, 7, 85, 98, 0, 50, 99, 0, 4, 0, 19, 0, 85, 47, 0, 0, 7, 76, 0, 0]
[0, 0, 72, 86, 78, 0, 6, 0, 44, 0, 0, 0, 0, 0, 0, 0, 42, 71, 95, 0, 38, 39, 0]
[0, 20, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 8, 91, 36, 2, 0, 14, 0, 0, 0, 88]
[0, 63, 78, 55, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 1, 19, 50, 67, 37, 38]
[64, 0, 40, 0, 0, 78, 69, 0, 62, 19, 0, 8, 0, 0, 0, 0, 78, 0, 12, 71, 48, 0, 0]
[0, 82, 0, 67, 0, 0, 6, 0, 0, 0, 0, 91, 0, 0, 0, 50, 83, 79, 10, 0, 88, 0, 34]
[0, 75, 94, 0, 79, 0, 88, 0, 0, 85, 0, 36, 0, 0, 50, 0, 86, 46, 49, 0, 30, 0, 0]
[88, 0, 0, 0, 0, 27, 0, 96, 0, 47, 42, 2, 52, 78, 83, 86, 0, 83, 94, 0, 96, 0, 0]
[10, 2, 0, 59, 29, 0, 0, 0, 85, 0, 71, 0, 1, 0, 79, 46, 83, 0, 0, 15, 5, 0, 54]
[0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 95, 14, 19, 12, 10, 49, 94, 0, 0, 0, 64, 6, 0]
[0, 41, 0, 55, 1, 12, 78, 0, 79, 7, 0, 0, 50, 71, 0, 0, 0, 15, 0, 0, 0, 0, 0]
[0, 77, 73, 0, 11, 0, 71, 0, 42, 76, 38, 0, 67, 48, 88, 30, 96, 5, 64, 0, 0, 45, 44]
[0, 0, 0, 0, 0, 38, 0, 48, 16, 0, 39, 0, 37, 0, 0, 0, 0, 0, 6, 0, 45, 0, 4]
[0, 0, 86, 0, 0, 66, 0, 26, 38, 0, 0, 88, 38, 0, 34, 0, 0, 54, 0, 0, 44, 4, 0]
