[0, 0, 0, 0, 14, 0, 70, 62, 0, 0, 3, 0, 93, 0, 0, 1, 0, 67, 0, 89, 0, 0, 81, 0, 0, 27, 3, 0, 0, 1, 0, 51, 0, 0, 0, 22, 0, 87, 8, 0, 64, 2, 0, 0, 93, 74, 0]
[0, 2, 0, 87, 0, 66, 0, 32, 0, 57, 34, 0, 82, 76, 0, 46, 0, 5, 82, 81, 0, 0, 50, 55, 8, 0, 0, 93, 0, 50, 0, 0, 45, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 0]
[0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 35, 0, 0, 90, 26, 0, 0, 17, 0, 66, 0, 43, 0, 0, 0, 1, 0, 0, 0, 0, 7, 0, 58, 0, 0, 73, 0, 0, 49, 60, 0, 0, 27, 20, 56, 0]
[0, 87, 0, 78, 0, 0, 0, 0, 32, 16, 0, 0, 79, 0, 41, 45, 27, 20, 0, 0, 0, 5, 79, 41, 68, 54, 79, 83, 77, 0, 0, 42, 26, 0, 0, 85, 46, 43, 0, 0, 22, 0, 65, 0, 71, 85, 71]
[14, 0, 0, 0, 0, 80, 65, 0, 97, 46, 54, 0, 0, 35, 0, 6, 33, 20, 0, 70, 42, 0, 0, 14, 0, 64, 15, 32, 0, 0, 0, 39, 63, 41, 40, 0, 0, 0, 0, 51, 0, 0, 8, 46, 46, 0, 0]
[0, 66, 53, 0, 80, 70, 61, 0, 52, 0, 0, 0, 98, 72, 0, 0, 57, 10, 0, 7, 10, 93, 0, 39, 45, 0, 61, 0, 0, 0, 72, 0, 0, 80, 0, 0, 0, 0, 47, 0, 53, 81, 0, 5, 97, 0, 0]
[70, 0, 0, 0, 65, 61, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 5, 0, 36, 0, 0, 33, 0, 84, 16, 19, 0, 23, 0, 70, 0, 48, 0, 0, 0, 55, 90, 88, 0, 9, 0]
[62, 32, 0, 0, 0, 0, 0, 0, 41, 47, 98, 0, 0, 1, 45, 0, 0, 3, 0, 0, 71, 0, 0, 77, 0, 30, 80, 0, 0, 0, 73, 0, 0, 7, 0, 40, 82, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]
[0, 0, 0, 32, 97, 52, 0, 41, 3, 38, 0, 81, 28, 0, 41, 10, 0, 72, 0, 7, 19, 48, 0, 0, 15, 0, 87, 76, 0, 6, 1, 0, 91, 1, 29, 0, 0, 0, 52, 20, 50, 0, 2, 49, 80, 0, 0]
[0, 57, 0, 16, 46, 0, 70, 47, 38, 0, 47, 0, 0, 0, 0, 0, 97, 4, 83, 0, 0, 14, 0, 0, 10, 4, 63, 51, 92, 66, 0, 0, 0, 0, 0, 0, 0, 97, 2, 0, 0, 87, 0, 76, 0, 82, 0]
[3, 34, 0, 0, 54, 0, 0, 98, 0, 47, 0, 61, 0, 0, 0, 29, 8, 97, 2, 0, 89, 1, 51, 29, 0, 68, 0, 0, 0, 0, 0, 27, 66, 2, 99, 0, 5, 79, 17, 82, 8, 0, 0, 0, 1, 88, 0]
